"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 07, 2020","82.0635","82.0635","82.0635","82.0635","-","-0.60%"
"Dec 06, 2020","82.5622","82.5622","82.5622","82.5622","-","0.57%"
"Dec 05, 2020","82.0935","82.0935","82.0935","82.0935","-","-1.62%"
"Dec 04, 2020","83.4428","83.4428","83.4428","83.4428","-","-2.09%"
"Dec 03, 2020","85.2260","85.2260","85.2260","85.2260","-","-2.52%"
"Dec 02, 2020","87.4259","87.4259","87.4259","87.4259","-","-10.13%"
"Dec 01, 2020","97.2816","97.2816","97.2816","97.2816","-","4.34%"
"Nov 30, 2020","93.2328","93.2328","93.2328","93.2328","-","16.43%"
"Nov 29, 2020","80.0760","80.0760","80.0760","80.0760","-","0.13%"
"Nov 28, 2020","79.9687","79.9687","79.9687","79.9687","-","-7.20%"
"Nov 27, 2020","86.1731","86.1731","86.1731","86.1731","-","-5.04%"
"Nov 26, 2020","90.7486","90.7486","90.7486","90.7486","-","-1.13%"
"Nov 25, 2020","91.7838","91.7838","91.7838","91.7838","-","-0.23%"
"Nov 24, 2020","91.9921","91.9921","91.9921","91.9921","-","1.76%"
"Nov 23, 2020","90.3985","90.3985","90.3985","90.3985","-","6.88%"
"Nov 22, 2020","84.5826","84.5826","84.5826","84.5826","-","2.27%"
"Nov 21, 2020","82.7059","82.7059","82.7059","82.7059","-","4.56%"
"Nov 20, 2020","79.0966","79.0966","79.0966","79.0966","-","7.23%"
"Nov 19, 2020","73.7655","73.7655","73.7655","73.7655","-","-10.90%"
"Nov 18, 2020","82.7878","82.7878","82.7878","82.7878","-","10.80%"
"Nov 17, 2020","74.7172","74.7172","74.7172","74.7172","-","10.00%"
"Nov 16, 2020","67.9223","67.9223","67.9223","67.9223","-","-1.87%"
"Nov 15, 2020","69.2189","69.2189","69.2189","69.2189","-","1.02%"
"Nov 14, 2020","68.5205","68.5205","68.5205","68.5205","-","0.92%"
"Nov 13, 2020","67.8990","67.8990","67.8990","67.8990","-","1.63%"
"Nov 12, 2020","66.8100","66.8100","66.8100","66.8100","-","0.28%"
"Nov 11, 2020","66.6233","66.6233","66.6233","66.6233","-","-2.70%"
"Nov 10, 2020","68.4726","68.4726","68.4726","68.4726","-","-4.65%"
"Nov 09, 2020","71.8134","71.8134","71.8134","71.8134","-","2.83%"
"Nov 08, 2020","69.8342","69.8342","69.8342","69.8342","-","-0.45%"
"Nov 07, 2020","70.1482","70.1482","70.1482","70.1482","-","-5.53%"
"Nov 06, 2020","74.2531","74.2531","74.2531","74.2531","-","2.36%"
"Nov 05, 2020","72.5426","72.5426","72.5426","72.5426","-","3.71%"
"Nov 04, 2020","69.9467","69.9467","69.9467","69.9467","-","-2.37%"
"Nov 03, 2020","71.6464","71.6464","71.6464","71.6464","-","-0.88%"
"Nov 02, 2020","72.2797","72.2797","72.2797","72.2797","-","3.61%"
"Nov 01, 2020","69.7611","69.7611","69.7611","69.7611","-","1.94%"
"Oct 31, 2020","68.4316","68.4316","68.4316","68.4316","-","7.10%"
"Oct 30, 2020","63.8973","63.8973","63.8973","63.8973","-","-0.87%"
"Oct 29, 2020","64.4577","64.4577","64.4577","64.4577","-","-3.72%"
"Oct 28, 2020","66.9471","66.9471","66.9471","66.9471","-","0.49%"
"Oct 27, 2020","66.6218","66.6218","66.6218","66.6218","-","8.55%"
"Oct 26, 2020","61.3771","61.3771","61.3771","61.3771","-","-1.00%"
